disruption_id,organisation,operator_noc,reason,planned,severity,modes_affected,services_affected,services_affected_count,stops_affected,stops_affected_names,stops_affected_count,validity_start,validity_end,publication_start,publication_end,expected_delay_minutes,is_synthetic,source,notes
d37f4283-a9bc-4a05-b3be-b1b0ae2d7246,Merseytravel,,emergencyEngineeringWork,True,severe,bus,,2,,,15,2025-11-07T11:10:00Z,,2025-11-07T11:05:00Z,,,False,bods_disruptions_data_catalogue,Real Merseytravel catalogue event (operators/services not named in catalogue)
7ca298fa-1fab-4b05-bf29-03b8e0a5a1ec,Merseytravel,,roadworks,True,moderate,bus,,1,,,6,2025-12-03T13:29:00Z,,2025-12-03T13:29:00Z,,,False,bods_disruptions_data_catalogue,Real Merseytravel catalogue event (operators/services not named in catalogue)
5baddf73-ac02-4ab8-8688-99d25d5f75ac,Merseytravel,,roadworks,True,moderate,bus,,7,,,7,2026-01-08T10:40:00Z,,2026-01-08T10:40:00Z,,,False,bods_disruptions_data_catalogue,Real Merseytravel catalogue event (operators/services not named in catalogue)
9c2fe6ef-7a58-4311-925e-1c7228f1a0e2,Merseytravel,,roadworks,True,moderate,bus,,3,,,11,2026-04-17T12:48:00Z,,2026-04-17T12:47:00Z,,,False,bods_disruptions_data_catalogue,Real Merseytravel catalogue event (operators/services not named in catalogue)
2025de4c-8d0d-44ae-969d-224ffb6d8c37,Merseytravel,,unknown,True,minor,bus,,2,,,22,2026-04-20T13:38:00Z,,2026-04-20T13:38:00Z,,,False,bods_disruptions_data_catalogue,Real Merseytravel catalogue event (operators/services not named in catalogue)
c7c4ea5d-35ad-4950-bb96-12cac7d54b1d,Merseytravel,,roadworks,True,moderate,bus,,1,,,1,2026-05-21T06:30:00Z,2026-08-11T16:00:00Z,2026-05-14T13:39:00Z,2026-08-11T16:00:00Z,,False,bods_disruptions_data_catalogue,Real Merseytravel catalogue event (operators/services not named in catalogue)
9af12775-47b5-4dd6-9f21-59797656c023,Merseytravel,,roadworks,True,moderate,bus,,5,,,15,2026-05-31T23:01:00Z,2026-07-17T22:59:00Z,2026-05-27T14:17:00Z,2026-07-17T22:59:00Z,,False,bods_disruptions_data_catalogue,Real Merseytravel catalogue event (operators/services not named in catalogue)
ab8713ed-e686-41b1-af0e-8984fb4d5630,Merseytravel,,roadworks,True,moderate,bus,,3,,,4,2026-06-08T23:00:00Z,2026-07-22T22:59:00Z,2026-06-08T22:59:00Z,2026-07-22T22:59:00Z,,False,bods_disruptions_data_catalogue,Real Merseytravel catalogue event (operators/services not named in catalogue)
c743e204-0c9b-4440-9f43-651d43f94a70,Merseytravel,,roadworks,True,moderate,bus,,1,,,5,2026-06-11T23:00:00Z,2026-07-23T22:59:00Z,2026-06-11T22:59:00Z,2026-07-23T22:59:00Z,,False,bods_disruptions_data_catalogue,Real Merseytravel catalogue event (operators/services not named in catalogue)
870c50dd-11c5-4faf-9f59-5e0d5c234f70,Merseytravel,,roadworks,True,moderate,bus,,4,,,17,2026-06-16T14:18:00Z,,2026-06-16T14:15:00Z,,,False,bods_disruptions_data_catalogue,Real Merseytravel catalogue event (operators/services not named in catalogue)
